id,created_at,updated_at,address_type,status,entity,number_and_street,unit,city,postal_code,country,notes,lat,lng
334,7/26/2018 19:35,7/25/2019 16:16,business,active,building,113 Manitowish Way,7,Cookshire-Eaton,M4C,Canada,lacinia sapien quis libero nullam sit amet,45.413,-71.626
335,5/22/2019 5:49,7/25/2019 16:16,business,active,building,8208 Harbort Parkway,1178,Buffalo,14276,United States,amet nulla quisque arcu libero rutrum,42.886,-78.878
336,1/15/2018 7:48,7/25/2019 16:16,business,active,building,1513 Pennsylvania Drive,0,Omemee,V1E,Canada,at nibh in hac habitasse platea dictumst aliquam augue,44.299,-78.557
337,3/6/2019 21:00,7/25/2019 16:16,business,active,building,76 Huxley Park,9,Newark,19725,United States,interdum venenatis turpis enim blandit mi in porttitor pede justo,40.736,-74.172
338,11/29/2018 11:50,7/25/2019 16:16,business,active,building,9009 Hooker Terrace,42588,Beloeil,J3H,Canada,lacus curabitur at ipsum ac,45.568,-73.204
339,6/3/2019 9:46,7/25/2019 16:16,business,active,building,61105 Lake View Parkway,4342,Sacramento,94263,United States,maecenas leo odio condimentum id luctus nec molestie,38.483,-121.534
340,12/16/2018 10:40,7/25/2019 16:16,business,active,building,8148 Service Alley,479,Nashville,37240,United States,ultrices phasellus id sapien in sapien iaculis congue vivamus,36.163,-86.782
341,9/10/2017 20:30,7/25/2019 16:16,business,active,building,5 La Follette Center,35,Mount Pearl,A1N,Canada,vestibulum rutrum rutrum neque aenean auctor,47.521,-52.808
342,7/26/2018 19:35,7/25/2019 16:16,business,active,building,113 Manitowish Way,7,Cookshire-Eaton,M4C,Canada,lacinia sapien quis libero nullam sit amet,45.413,-71.626
343,7/19/2017 23:55,7/25/2019 16:16,business,active,building,63456 Karstens Lane,1,Markham,L6E,Canada,ut blandit non interdum in,39.681,-91.715
344,2/9/2017 23:54,7/25/2019 16:16,business,active,building,0 Cordelia Crossing,22155,Oklahoma City,73167,United States,,35.62,-97.582
345,12/9/2017 3:35,7/25/2019 16:16,business,active,building,76309 Farwell Junction,8999,Roberval,G8H,Canada,erat vestibulum sed magna at nunc commodo placerat praesent,48.519,-72.222
346,10/22/2018 7:45,7/25/2019 16:16,business,active,building,28 Hooker Avenue,64,Port Moody,V3H,Canada,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,49.285,-122.868
347,2/3/2017 21:53,7/25/2019 16:16,business,active,building,39 Rusk Terrace,3,Assiniboia,H3C,Canada,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,49.634,-105.992
348,2/9/2017 15:49,7/25/2019 16:16,business,active,building,02572 Browning Terrace,813,Mount Pearl,A1N,Canada,suscipit nulla elit ac nulla sed,47.521,-52.808
349,12/30/2018 15:06,7/25/2019 16:16,business,active,building,9055 Schlimgen Parkway,288,Pensacola,32590,United States,quam sollicitudin vitae consectetuer eget,30.421,-87.217
350,8/19/2017 18:34,7/25/2019 16:16,business,active,building,3 Johnson Alley,57750,Dallas,75236,United States,,32.777,-96.797
351,12/25/2018 4:46,7/25/2019 16:16,business,active,building,44 Ohio Court,9117,Akron,44310,United States,,41.083,-81.501
352,4/13/2017 18:33,7/25/2019 16:16,business,active,building,1394 Esch Lane,7547,Oceanside,92056,United States,nulla nunc purus phasellus in felis donec,33.196,-117.379
353,4/13/2018 1:31,7/25/2019 16:16,business,active,building,373 Hanson Plaza,0,Seattle,98175,United States,volutpat in congue etiam justo etiam,47.606,-122.332
354,11/27/2017 8:28,7/25/2019 16:16,business,active,building,88249 6th Park,42,Richmond,23285,United States,aenean auctor gravida sem praesent id massa id nisl,37.541,-77.436
355,2/9/2017 15:49,7/25/2019 16:16,business,active,building,02572 Browning Terrace,813,Mount Pearl,A1N,Canada,suscipit nulla elit ac nulla sed,47.521,-52.808
356,6/28/2017 20:37,7/25/2019 16:16,business,active,building,9773 Derek Junction,45386,Charlotte,28205,United States,ut odio cras mi,35.227,-80.843
357,1/3/2019 4:04,7/25/2019 16:16,business,active,building,84 American Crossing,5,Los Angeles,90055,United States,est quam pharetra magna,34.052,-118.244
358,6/21/2019 15:41,7/25/2019 16:16,business,active,building,1532 Longview Way,560,Honolulu,96825,United States,sollicitudin mi sit amet lobortis sapien sapien non,21.307,-157.858
359,9/2/2018 2:46,7/25/2019 16:16,business,active,building,8 Glendale Parkway,5,Lexington,40524,United States,integer non velit donec diam neque vestibulum eget,43.135,-87.936
360,2/10/2019 21:01,7/25/2019 16:16,business,active,building,9 Chinook Court,3,Fort Myers,33994,United States,placerat praesent blandit nam nulla integer pede justo,26.485,-81.948
361,3/1/2019 21:47,7/25/2019 16:16,business,active,building,6146 Melody Alley,1,Summerside,C1N,Canada,lectus vestibulum quam sapien varius ut blandit non interdum in,46.393,-63.79
362,8/13/2018 6:17,7/25/2019 16:16,business,active,building,55 Bartillon Center,229,Charleston,29424,United States,mi pede malesuada in imperdiet et commodo vulputate,38.35,-81.633
363,4/1/2017 20:33,7/25/2019 16:16,business,active,building,102 Nelson Street,4407,Albany,12210,United States,habitasse platea dictumst aliquam,42.653,-73.756
364,5/1/2018 13:45,7/25/2019 16:16,business,active,building,6 Park Meadow Circle,4,Saint Louis,63169,United States,pede libero quis orci nullam molestie nibh in lectus pellentesque,38.627,-90.199
365,7/9/2019 7:38,7/25/2019 16:16,business,active,building,782 Acker Avenue,1,Bellevue,98008,United States,lobortis vel dapibus at diam nam tristique,47.61,-122.202
366,9/2/2018 2:46,7/25/2019 16:16,business,active,building,8 Glendale Parkway,5,Lexington,40524,United States,integer non velit donec diam neque vestibulum eget,43.135,-87.936
367,4/14/2017 5:17,7/25/2019 16:16,business,active,building,9387 Moose Parkway,7,Maple Ridge,V2X,Canada,dolor vel est donec odio,49.219,-122.598
368,8/18/2018 15:07,7/25/2019 16:16,business,active,building,45 Loomis Street,3016,Orangeville,T1J,Canada,et commodo vulputate justo in blandit ultrices enim lorem ipsum,42.443,-71.034
369,4/13/2018 23:15,7/25/2019 16:16,business,active,building,0943 Heffernan Junction,69537,Austin,78764,United States,at dolor quis odio consequat varius,30.267,-97.743
370,10/26/2017 16:25,7/25/2019 16:16,business,active,building,10910 Walton Place,653,New York City,10009,United States,,41.274,-74.146
371,7/2/2018 16:54,7/25/2019 16:16,business,active,building,5440 Bowman Street,4,San Antonio,78225,United States,cursus id turpis integer aliquet massa,29.424,-98.494
372,7/17/2016 7:39,7/25/2019 16:16,business,active,building,5 Hoard Trail,54258,Houston,77045,United States,aenean sit amet justo morbi ut odio cras mi,29.76,-95.37
373,6/7/2019 15:19,7/25/2019 16:16,business,active,building,7 Miller Trail,5,Rosthern,B0L,Canada,mi nulla ac enim in tempor turpis nec euismod,52.662,-106.332
374,7/4/2018 17:10,7/25/2019 16:16,business,active,building,9701 Bashford Center,223,Staten Island,10305,United States,pede posuere nonummy integer non velit donec diam,40.58,-74.15
375,1/5/2019 13:30,7/25/2019 16:16,business,active,building,2956 Packers Plaza,22248,Greensboro,27455,United States,nullam sit amet turpis elementum ligula,36.073,-79.792
376,11/18/2017 7:17,7/25/2019 16:16,business,active,building,45812 Towne Place,9077,Washington,20420,United States,,41.054,-83.594
377,10/25/2018 7:54,7/25/2019 16:16,business,active,building,20 Briar Crest Way,12,Staten Island,10305,United States,lacinia nisi venenatis tristique fusce congue diam id ornare,40.58,-74.15
378,12/23/2016 10:53,7/25/2019 16:16,business,active,building,0480 School Hill,2669,Washington,20067,United States,lobortis vel dapibus at diam nam tristique tortor eu pede,38.659,-87.173
379,5/4/2019 0:00,7/25/2019 16:16,business,active,building,8710 Manufacturers Crossing,284,Antigonish,B2G,Canada,porttitor pede justo eu massa donec dapibus duis,45.623,-61.993
380,10/8/2018 3:23,7/25/2019 16:16,business,active,building,1 Granby Alley,6303,Joliet,60435,United States,semper est quam pharetra magna ac consequat metus sapien ut,41.525,-88.082
381,3/24/2018 20:44,7/25/2019 16:16,business,active,building,158 Pine View Lane,93,Memphis,38197,United States,consequat in consequat ut nulla sed accumsan felis ut,35.026,-89.948
382,4/17/2017 17:48,7/25/2019 16:16,business,active,building,4312 Sachs Crossing,33,Baltimore,21239,United States,etiam justo etiam pretium iaculis justo in,39.29,-76.612
383,6/22/2017 14:18,7/25/2019 16:16,business,active,building,355 Scoville Pass,1,Havre-Saint-Pierre,H4R,Canada,ut nunc vestibulum ante ipsum primis,50.242,-63.599
384,2/28/2019 2:42,7/25/2019 16:16,business,active,building,9 Stang Avenue,4,Fox Creek,E4B,Canada,tristique in tempus sit,-43.55,172.546
385,11/9/2017 21:58,7/25/2019 16:16,business,active,building,92 Kropf Road,3108,Manassas,22111,United States,tincidunt eget tempus vel pede,38.751,-77.475
386,12/21/2016 18:24,7/25/2019 16:16,business,active,building,3630 Old Gate Plaza,75696,Little Rock,72209,United States,justo in hac habitasse platea dictumst,34.754,-92.343
387,2/28/2018 10:13,7/25/2019 16:16,business,active,building,55947 Oakridge Junction,4,Timmins,P4P,Canada,amet erat nulla tempus vivamus in felis eu,48.476,-81.331
388,4/15/2019 18:14,7/25/2019 16:16,business,active,building,416 Oxford Street,68932,Las Vegas,89135,United States,,36.17,-115.14
389,4/11/2017 11:01,7/25/2019 16:16,business,active,building,24 Rutledge Point,8,Digby,N3Y,Canada,nulla tellus in sagittis dui vel nisl duis ac,36.281,-83.515
390,11/4/2017 7:30,7/25/2019 16:16,business,active,building,783 Artisan Road,1331,Norfolk,23509,United States,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,36.851,-76.286
391,10/25/2016 20:04,7/25/2019 16:16,business,active,building,35733 Dawn Lane,20,Allentown,18105,United States,neque sapien placerat ante nulla justo aliquam quis turpis,40.602,-75.471
392,7/22/2016 18:30,7/25/2019 16:16,business,active,building,158 Russell Court,9,Peace River,T8S,Canada,,56.234,-117.289
393,7/5/2017 3:34,7/25/2019 16:16,business,active,building,75791 Forster Crossing,9964,Arlington,22217,United States,mauris enim leo rhoncus sed vestibulum sit amet cursus,32.215,-95.216
394,6/15/2018 17:39,7/25/2019 16:16,business,active,building,50232 Bellgrove Hill,1,Las Vegas,89193,United States,et ultrices posuere cubilia curae duis,36.17,-115.14
395,10/5/2017 20:01,7/25/2019 16:16,business,active,building,2 Graedel Lane,526,Lebel-sur-Quote,N2A,Canada,risus auctor sed tristique in,37.781,-122.412
396,6/26/2017 14:40,7/25/2019 16:16,business,active,building,4 Mayer Street,98,Deep River,M4J,Canada,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,41.365,-72.485
397,5/2/2019 10:14,7/25/2019 16:16,business,active,building,13348 Columbus Center,76633,Burns Lake,M4H,Canada,mattis pulvinar nulla pede ullamcorper augue a suscipit,54.233,-125.764
398,11/15/2016 23:36,7/25/2019 16:16,business,active,building,9462 Mcguire Trail,5723,Chambly,J3L,Canada,,45.405,-92.863
399,1/22/2017 11:53,7/25/2019 16:16,business,active,building,4556 Monument Place,28,Corpus Christi,78410,United States,,27.797,-97.391
400,3/20/2018 0:20,7/25/2019 16:16,business,active,building,142 Kipling Center,2,Prince Albert,S6W,Canada,,53.203,-105.753
